originreportzone,destreportzone,departtime,trippurpose,modeprimary
425,425,1130,41,1
425,425,1230,80,1
425,425,1250,41,1
425,425,1310,80,1
425,450,1530,51,1
450,450,1555,52,1
450,425,1700,46,1
425,450,1845,52,1
450,425,2100,80,1
425,450,1530,51,2
450,450,1555,52,2
450,450,1845,52,2
450,425,2100,80,2
200,200,1100,41,1
200,200,1130,80,1
200,50,1230,10,1
50,200,1830,80,1
425,260,1300,43,1
260,425,1330,41,1
425,425,1400,80,1
425,425,800,10,1
400,425,1745,80,1
200,240,730,43,1
240,200,845,80,1
200,50,1130,46,1
50,200,1430,80,1
180,100,1000,52,1
100,180,1035,41,1
180,180,1440,80,1
180,100,1630,52,1
100,100,1700,51,1
100,50,1715,52,1
50,100,1805,51,1
100,180,1820,80,1
180,100,2100,51,1
100,180,2120,80,1
180,100,1000,10,2
100,50,1700,46,2
50,180,2120,80,2
180,180,900,30,18
180,180,1600,80,18
180,100,1630,46,2
100,180,1820,80,2
425,260,1100,40,1
260,425,1300,41,1
425,425,1400,80,1
200,425,2000,80,2
180,1,700,10,1
1,180,1535,80,1
100,50,820,10,3
50,100,1630,80,3
425,1,830,10,4
1,425,1700,80,4
425,200,1930,51,1
200,425,1945,80,1
425,200,800,52,1
200,425,820,80,1
425,200,1715,52,1
200,425,1730,80,1
425,200,800,30,2
200,425,1430,80,3
425,425,815,30,7
425,425,1500,80,7
425,200,1715,46,2
200,425,1945,80,2
100,120,1030,43,2
100,200,1615,44,2
200,200,1720,44,2
425,100,2000,80,2
200,240,1500,46,1
240,200,1600,80,1
200,200,1800,41,7
200,200,2000,80,7
200,240,1500,46,2
240,200,1600,80,2
200,50,1800,44,1
50,200,2100,80,1
400,400,1530,41,1
400,140,1545,41,1
140,180,1830,51,1
180,400,1915,80,1
400,400,1530,41,2
400,140,1545,41,2
140,180,1830,51,2
180,400,1915,80,2
180,400,1915,80,2
120,260,1000,10,1
260,120,1830,80,1
120,50,1300,20,4
50,120,1615,80,4
425,425,820,41,1
425,425,825,80,1
425,425,1900,41,7
425,425,2100,80,7
425,140,800,43,3
140,425,1700,80,3
425,50,700,20,3
50,425,2000,80,3
425,425,1000,30,7
425,425,1500,80,7
425,425,800,30,18
425,425,1510,80,18
400,400,725,52,7
400,400,755,52,7
400,400,810,80,7
400,400,1030,43,1
400,400,1115,80,1
400,400,1245,80,7
