originreportzone,destreportzone,departtime,trippurpose,modeprimary,tripfactor
425,425,1650,80,1,33.69
425,425,1805,52,1,33.69
425,425,1820,80,1,33.69
425,425,2000,51,1,33.69
425,425,2025,80,1,33.69
425,425,815,41,2,33.69
425,425,845,30,18,33.69
425,425,1550,43,2,33.69
425,425,1630,41,2,33.69
425,425,1650,80,2,33.69
425,425,815,41,2,33.69
425,425,830,30,7,33.69
425,425,1500,46,7,33.69
425,425,1535,46,7,33.69
425,425,1540,51,2,33.69
425,425,1630,41,2,33.69
425,425,1650,80,2,33.69
425,425,1805,46,2,33.69
425,425,2025,80,2,33.69
200,240,1120,43,6,20.6
240,200,1235,80,6,20.6
425,425,1130,41,1,9.67
425,425,1230,80,1,9.67
425,425,1250,41,1,9.67
425,425,1310,80,1,9.67
425,450,1530,51,1,9.67
450,450,1555,52,1,9.67
450,425,1700,46,1,9.67
425,450,1845,52,1,9.67
450,425,2100,80,1,9.67
425,450,1530,51,2,9.67
450,450,1555,52,2,9.67
450,450,1845,52,2,9.67
450,425,2100,80,2,9.67
200,200,1100,41,1,27.66
200,200,1130,80,1,27.66
200,50,1230,10,1,27.66
50,200,1830,80,1,27.66
425,260,1300,43,1,8.9
260,425,1330,41,1,8.9
425,425,1400,80,1,8.9
425,425,800,10,1,8.9
400,425,1745,80,1,8.9
200,240,730,43,1,6.16
240,200,845,80,1,6.16
200,50,1130,46,1,6.16
50,200,1430,80,1,6.16
180,100,1000,52,1,7.83
100,180,1035,41,1,7.83
180,180,1440,80,1,7.83
180,100,1630,52,1,7.83
100,100,1700,51,1,7.83
100,50,1715,52,1,7.83
50,100,1805,51,1,7.83
100,180,1820,80,1,7.83
180,100,2100,51,1,7.83
100,180,2120,80,1,7.83
180,100,1000,10,2,7.83
100,50,1700,46,2,7.83
50,180,2120,80,2,7.83
180,180,900,30,18,7.83
180,180,1600,80,18,7.83
180,100,1630,46,2,7.83
100,180,1820,80,2,7.83
425,260,1100,40,1,12.17
260,425,1300,41,1,12.17
425,425,1400,80,1,12.17
200,425,2000,80,2,12.17
180,1,700,10,1,6.3
1,180,1535,80,1,6.3
100,50,820,10,3,18.67
50,100,1630,80,3,18.67
425,1,830,10,4,21.39
1,425,1700,80,4,21.39
425,200,1930,51,1,21.39
200,425,1945,80,1,21.39
425,200,800,52,1,21.39
200,425,820,80,1,21.39
425,200,1715,52,1,21.39
200,425,1730,80,1,21.39
425,200,800,30,2,21.39
200,425,1430,80,3,21.39
425,425,815,30,7,21.39
425,425,1500,80,7,21.39
425,200,1715,46,2,21.39
200,425,1945,80,2,21.39
100,120,1030,43,2,19.2
100,200,1615,44,2,19.2
200,200,1720,44,2,19.2
425,100,2000,80,2,19.2
200,240,1500,46,1,19.7
240,200,1600,80,1,19.7
200,200,1800,41,7,19.7
200,200,2000,80,7,19.7
200,240,1500,46,2,19.7
240,200,1600,80,2,19.7
200,50,1800,44,1,19.7
50,200,2100,80,1,19.7
400,400,1530,41,1,7.92
400,140,1545,41,1,7.92
140,180,1830,51,1,7.92
180,400,1915,80,1,7.92
400,400,1530,41,2,7.92
400,140,1545,41,2,7.92
140,180,1830,51,2,7.92
180,400,1915,80,2,7.92
180,400,1915,80,2,7.92
120,260,1000,10,1,13.18
260,120,1830,80,1,13.18
